variable,availability_mean_pct,availability_min_pct,availability_max_pct,n_stations
hour_sin,100.0,100.0,100.0,18
PR,100.0,100.0,100.0,18
LL,100.0,100.0,100.0,18
T,100.0,100.0,100.0,18
wind_cos,100.0,100.0,100.0,18
wind_sin,100.0,100.0,100.0,18
VV,100.0,100.0,100.0,18
dow_cos,100.0,100.0,100.0,18
month_sin,100.0,100.0,100.0,18
hour_cos,100.0,100.0,100.0,18
dow_sin,100.0,100.0,100.0,18
month_cos,100.0,100.0,100.0,18
Sah,100.0,100.0,100.0,18
RA,100.0,100.0,100.0,18
H,99.93,98.92,100.0,18
PM10,99.58,97.84,100.0,18
NOx,94.23,0.0,100.0,18
NO,94.15,0.0,100.0,18
NO2,94.14,0.0,100.0,18
SO2,72.06,0.0,100.0,18
PM25,53.87,0.0,100.0,18
O3,48.39,0.0,100.0,18
CO,33.32,0.0,100.0,18
