variable,lag_hours,corr_mean,corr_min,corr_max,n_stations
CO,1,0.2762,0.1376,0.3567,6
CO,3,0.2246,0.1131,0.3203,6
CO,6,0.176,0.0896,0.2673,6
CO,12,0.1425,0.0805,0.2259,6
CO,24,0.1332,0.0551,0.1949,6
CO,48,0.0901,0.0337,0.155,6
H,1,0.0233,-0.0703,0.1833,18
H,3,0.0115,-0.0797,0.1593,18
H,6,0.0044,-0.0957,0.1686,18
H,12,0.0002,-0.0684,0.1761,18
H,24,-0.0126,-0.1152,0.1137,18
H,48,-0.0003,-0.0784,0.1082,18
LL,1,-0.0891,-0.1221,-0.0374,18
LL,3,-0.0934,-0.1124,-0.062,18
LL,6,-0.0849,-0.1066,-0.0549,18
LL,12,-0.074,-0.0906,-0.0401,18
LL,24,-0.063,-0.0777,-0.0303,18
LL,48,-0.0519,-0.0647,-0.0283,18
NO,1,0.2487,0.0496,0.3899,17
NO,3,0.1883,0.0326,0.2599,17
NO,6,0.1041,0.017,0.1357,17
NO,12,0.0703,0.003,0.1441,17
NO,24,0.1127,0.0026,0.2143,17
NO,48,0.0636,-0.0128,0.1497,17
NO2,1,0.3503,0.1217,0.4489,17
NO2,3,0.2912,0.0729,0.3687,17
NO2,6,0.2072,0.0634,0.2825,17
NO2,12,0.1541,0.0614,0.2117,17
NO2,24,0.1718,0.0346,0.2448,17
NO2,48,0.1109,0.016,0.1829,17
NOx,1,0.3353,0.1144,0.4664,17
NOx,3,0.2669,0.0781,0.3463,17
NOx,6,0.1705,0.0601,0.2509,17
NOx,12,0.1229,0.0537,0.1827,17
NOx,24,0.1596,0.0214,0.2577,17
NOx,48,0.0978,0.0015,0.1858,17
O3,1,-0.0581,-0.2729,0.0841,9
O3,3,-0.0519,-0.218,0.0635,9
O3,6,-0.0311,-0.1151,0.0622,9
O3,12,-0.0031,-0.071,0.0782,9
O3,24,-0.01,-0.1481,0.0642,9
O3,48,-0.0003,-0.1293,0.0484,9
PM10,1,0.8655,0.7066,0.9519,18
PM10,3,0.6922,0.4939,0.8472,18
PM10,6,0.5581,0.3545,0.709,18
PM10,12,0.4263,0.2444,0.5686,18
PM10,24,0.3921,0.2412,0.5202,18
PM10,48,0.25,0.1421,0.3913,18
PM25,1,0.6804,0.4813,0.8258,11
PM25,3,0.5653,0.3447,0.7113,11
PM25,6,0.4671,0.267,0.6011,11
PM25,12,0.3624,0.2008,0.4959,11
PM25,24,0.3377,0.1914,0.424,11
PM25,48,0.2162,0.1152,0.2794,11
PR,1,0.0612,0.007,0.2226,18
PR,3,0.0536,0.0039,0.2097,18
PR,6,0.0504,0.0032,0.1991,18
PR,12,0.0468,-0.005,0.1906,18
PR,24,0.0448,0.0035,0.1863,18
PR,48,0.0431,-0.0097,0.1868,18
RA,1,0.0863,-0.0486,0.1839,18
RA,3,0.071,-0.0834,0.1938,18
RA,6,0.0521,-0.0628,0.1723,18
RA,12,0.0345,-0.0361,0.1068,18
RA,24,0.0984,-0.0222,0.1728,18
RA,48,0.0854,-0.0336,0.1589,18
SO2,1,0.1703,0.078,0.2971,13
SO2,3,0.1278,0.0518,0.2193,13
SO2,6,0.0917,0.02,0.1646,13
SO2,12,0.0662,-0.0036,0.1445,13
SO2,24,0.0874,0.0131,0.1812,13
SO2,48,0.0599,-0.0,0.1279,13
Sah,1,0.3116,0.1762,0.3908,18
Sah,3,0.3087,0.1753,0.3888,18
Sah,6,0.3028,0.1726,0.3842,18
Sah,12,0.2801,0.1585,0.3627,18
Sah,24,0.2188,0.1092,0.2951,18
Sah,48,0.143,0.0634,0.1956,18
T,1,0.1472,0.0206,0.2935,18
T,3,0.1427,0.0189,0.2931,18
T,6,0.1375,0.0577,0.2792,18
T,12,0.1299,0.06,0.2395,18
T,24,0.1248,0.0278,0.2625,18
T,48,0.0889,-0.0016,0.215,18
VV,1,-0.0766,-0.1908,0.0301,18
VV,3,-0.0826,-0.1989,0.0172,18
VV,6,-0.071,-0.1972,0.0446,18
VV,12,-0.0511,-0.1926,0.046,18
VV,24,-0.0573,-0.1585,0.0503,18
VV,48,-0.0596,-0.1415,0.0577,18
dow_cos,1,-0.0271,-0.0525,-0.0078,18
dow_cos,3,-0.0244,-0.049,-0.0068,18
dow_cos,6,-0.0193,-0.0412,-0.0041,18
dow_cos,12,0.0089,-0.0098,0.0233,18
dow_cos,24,0.0354,0.0134,0.0583,18
dow_cos,48,0.0728,0.0336,0.1132,18
dow_sin,1,0.069,0.0316,0.1079,18
dow_sin,3,0.0713,0.0333,0.1113,18
dow_sin,6,0.0735,0.0347,0.1144,18
dow_sin,12,0.0721,0.0331,0.1123,18
dow_sin,24,0.0648,0.0284,0.1046,18
dow_sin,48,0.0126,-0.0031,0.0316,18
hour_cos,1,-0.0268,-0.124,0.1012,18
hour_cos,3,-0.0091,-0.1053,0.1582,18
hour_cos,6,0.0204,-0.0965,0.1674,18
hour_cos,12,0.0332,-0.0803,0.1207,18
hour_cos,24,-0.0332,-0.1207,0.0803,18
hour_cos,48,-0.0331,-0.1207,0.0804,18
hour_sin,1,0.0282,-0.1063,0.1471,18
hour_sin,3,0.0378,-0.1041,0.1076,18
hour_sin,6,0.0332,-0.0803,0.1208,18
hour_sin,12,-0.0204,-0.1674,0.0964,18
hour_sin,24,0.0203,-0.0965,0.1673,18
hour_sin,48,0.0202,-0.0964,0.1672,18
month_cos,1,-0.0974,-0.2503,0.0093,18
month_cos,3,-0.0973,-0.2503,0.0095,18
month_cos,6,-0.0972,-0.2503,0.0096,18
month_cos,12,-0.0971,-0.2506,0.0101,18
month_cos,24,-0.0959,-0.2509,0.0113,18
month_cos,48,-0.0941,-0.2516,0.0129,18
month_sin,1,0.0327,-0.105,0.1597,18
month_sin,3,0.0325,-0.1048,0.1591,18
month_sin,6,0.0325,-0.1046,0.1589,18
month_sin,12,0.0326,-0.1038,0.1593,18
month_sin,24,0.033,-0.1021,0.1602,18
month_sin,48,0.0346,-0.0983,0.1619,18
wind_cos,1,0.0136,-0.1594,0.1596,18
wind_cos,3,-0.0022,-0.1463,0.1542,18
wind_cos,6,-0.0151,-0.1246,0.1019,18
wind_cos,12,-0.0032,-0.1157,0.0633,18
wind_cos,24,0.0042,-0.1022,0.1006,18
wind_cos,48,0.0154,-0.074,0.1023,18
wind_sin,1,0.1286,-0.099,0.2884,18
wind_sin,3,0.1237,-0.0691,0.2518,18
wind_sin,6,0.099,-0.0491,0.2054,18
wind_sin,12,0.0521,-0.0127,0.1661,18
wind_sin,24,0.0943,0.0034,0.1748,18
wind_sin,48,0.0715,0.0122,0.1429,18
