variable,is_target,best_lag_hours,corr_at_best_lag,abs_corr_at_best_lag,corr_lag1,corr_lag24,corr_lag48,availability_mean_pct,availability_min_pct,passes_availability,rank
PM10,True,1,0.8655,0.8655,0.8655,0.3921,0.25,99.58,97.84,True,1
PM25,False,1,0.6804,0.6804,0.6804,0.3377,0.2162,53.87,0.0,False,2
NO2,False,1,0.3503,0.3503,0.3503,0.1718,0.1109,94.14,0.0,True,3
NOx,False,1,0.3353,0.3353,0.3353,0.1596,0.0978,94.23,0.0,True,4
Sah,False,1,0.3116,0.3116,0.3116,0.2188,0.143,100.0,100.0,True,5
CO,False,1,0.2762,0.2762,0.2762,0.1332,0.0901,33.32,0.0,False,6
NO,False,1,0.2487,0.2487,0.2487,0.1127,0.0636,94.15,0.0,True,7
SO2,False,1,0.1703,0.1703,0.1703,0.0874,0.0599,72.06,0.0,False,8
T,False,1,0.1472,0.1472,0.1472,0.1248,0.0889,100.0,100.0,True,9
wind_sin,False,1,0.1286,0.1286,0.1286,0.0943,0.0715,100.0,100.0,True,10
RA,False,24,0.0984,0.0984,0.0863,0.0984,0.0854,100.0,100.0,True,11
month_cos,False,1,-0.0974,0.0974,-0.0974,-0.0959,-0.0941,100.0,100.0,True,12
LL,False,3,-0.0934,0.0934,-0.0891,-0.063,-0.0519,100.0,100.0,True,13
VV,False,3,-0.0826,0.0826,-0.0766,-0.0573,-0.0596,100.0,100.0,True,14
dow_sin,False,6,0.0735,0.0735,0.069,0.0648,0.0126,100.0,100.0,True,15
dow_cos,False,48,0.0728,0.0728,-0.0271,0.0354,0.0728,100.0,100.0,True,16
PR,False,1,0.0612,0.0612,0.0612,0.0448,0.0431,100.0,100.0,True,17
O3,False,1,-0.0581,0.0581,-0.0581,-0.01,-0.0003,48.39,0.0,False,18
hour_sin,False,3,0.0378,0.0378,0.0282,0.0203,0.0202,100.0,100.0,True,19
month_sin,False,48,0.0346,0.0346,0.0327,0.033,0.0346,100.0,100.0,True,20
hour_cos,False,12,0.0332,0.0332,-0.0268,-0.0332,-0.0331,100.0,100.0,True,21
H,False,1,0.0233,0.0233,0.0233,-0.0126,-0.0003,99.93,98.92,True,22
wind_cos,False,48,0.0154,0.0154,0.0136,0.0042,0.0154,100.0,100.0,True,23
