station_name,n_obs,acf_lag1,acf_lag24,memory_lag_hours
ABANTO,55512,0.853,0.3916,30
ALGORTA (BBIZI2),55152,0.7917,0.2614,9
ALONSOTEGI,54264,0.9403,0.3964,29
ARRAIZ (Monte),55320,0.9519,0.5202,57
BARAKALDO,54000,0.8733,0.5071,80
BASAURI,54168,0.8432,0.3717,28
CASTREJANA,54984,0.9347,0.42,31
ERANDIO,55512,0.8214,0.3839,29
EUROPA,55104,0.911,0.458,32
LAS CARRERAS,55373,0.7068,0.3073,26
MAZARREDO,55512,0.9171,0.4287,33
MUSKIZ,55176,0.8777,0.3858,30
Mª DIAZ HARO,55056,0.9046,0.4336,33
SAN JULIAN,55464,0.848,0.3813,30
SAN MIGUEL,54528,0.9274,0.4988,52
SANGRONIZ,55512,0.8501,0.3803,28
SANTURCE,55464,0.8298,0.2412,16
ZIERBENA (Puerto),53832,0.7964,0.2969,9
