station,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
ABANTO,4.827702522277832,6.914219379425049,3.1449007987976074,4.141909122467041
ALGORTA (BBIZI2),8.568319320678711,12.548500061035156,5.100300312042236,7.021859169006348
ALONSOTEGI,5.875619888305664,8.21163558959961,3.817979097366333,5.183071613311768
ARRAIZ (Monte),5.862761497497559,8.201189041137695,4.4741435050964355,5.841243267059326
BARAKALDO,7.120119094848633,10.128881454467773,4.743159770965576,6.300802230834961
BASAURI,6.677429676055908,10.456274032592773,4.430919170379639,6.057642459869385
CASTREJANA,6.944039821624756,9.479512214660645,4.213280200958252,5.601438522338867
ERANDIO,6.144594192504883,9.122342109680176,3.979696273803711,5.402261734008789
EUROPA,5.544217586517334,8.295051574707031,3.6743500232696533,5.088775634765625
LAS CARRERAS,5.866705417633057,8.642034530639648,3.7703537940979004,5.178546905517578
MAZARREDO,5.095315933227539,7.631804943084717,3.49511981010437,4.90494441986084
MUSKIZ,4.198357582092285,6.887948513031006,2.940357208251953,4.304072380065918
Mª DIAZ HARO,5.71366548538208,8.346099853515625,4.107089996337891,5.6700544357299805
SAN JULIAN,6.503446102142334,9.627514839172363,4.093034744262695,5.706859588623047
SAN MIGUEL,5.306994915008545,7.016782760620117,4.155782222747803,5.6645402908325195
SANGRONIZ,6.068170070648193,8.920988082885742,3.571928024291992,4.811963081359863
SANTURCE,6.549361228942871,8.801024436950684,4.485621452331543,6.290151596069336
ZIERBENA (Puerto),8.011381149291992,12.836316108703613,4.5959391593933105,6.394192695617676
