model,feature_config,hour,mae,rmse,n
airformer,F5,0,5.646681793017876,8.981806414933788,199602
airformer,F5,1,5.5972131136654575,8.28238572059194,199602
airformer,F5,2,5.396116142680215,7.78160187171447,199602
airformer,F5,3,5.263707276524225,7.635516712734707,199602
airformer,F5,4,5.21347302394124,7.499210933850763,199602
airformer,F5,5,5.393132044002134,8.026192984168583,199602
airformer,F5,6,5.753201535798709,8.423946446740224,199602
airformer,F5,7,6.437378040703921,9.863200871913968,199602
airformer,F5,8,6.8205544333187,10.102290376462413,199602
airformer,F5,9,6.95530168678888,10.435665588443866,199602
airformer,F5,10,6.8023206143375345,10.160291860628575,199602
airformer,F5,11,6.533995918352723,9.628773750856558,199602
airformer,F5,12,6.3391065343924335,9.476457233881774,199602
airformer,F5,13,6.270472403995293,9.616240587945716,199602
airformer,F5,14,6.125823048233474,9.345430552320623,199602
airformer,F5,15,6.028716340349143,9.180786614176322,199602
airformer,F5,16,5.895984132113511,9.102446043149317,199602
airformer,F5,17,5.87577389148544,9.069397834641265,199602
airformer,F5,18,5.8596201236617755,9.506365327796997,199602
airformer,F5,19,5.897248512962713,9.790490924739279,199602
airformer,F5,20,5.934614521932918,9.933508467139026,199602
airformer,F5,21,5.862407789463411,9.77295182886922,199602
airformer,F5,22,6.159445384739838,9.776638791638808,199602
airformer,F5,23,6.137076784234476,9.634486942288314,199602
informer,F1,0,5.8548270714601705,9.693830521790815,186598
informer,F1,1,5.778194352113426,8.900566198886365,186598
informer,F1,2,5.616156108339235,8.233074219693199,186598
informer,F1,3,5.5103363227034805,7.92142652962407,186598
informer,F1,4,5.457650806955671,7.677929586268659,186598
informer,F1,5,5.656538574955904,8.222190337313135,186598
informer,F1,6,6.018396239274504,8.658187318918992,186598
informer,F1,7,6.672327952352418,10.144551196177169,186598
informer,F1,8,7.068117230064847,10.403889320769668,186598
informer,F1,9,7.280587200125334,10.847452122270601,186598
informer,F1,10,7.1313661555074574,10.57451230787884,186598
informer,F1,11,6.89590022400859,10.115964192729448,186598
informer,F1,12,6.7249200872419514,9.894894085274133,186598
informer,F1,13,6.633314014473523,10.025217888062267,186598
informer,F1,14,6.463858054031015,9.744687512142935,186598
informer,F1,15,6.306804229653143,9.552867997606588,186598
informer,F1,16,6.179428023946124,9.551598903067429,186598
informer,F1,17,6.141925277434195,9.58432460337,186598
informer,F1,18,6.157268883886917,10.175162636267508,186598
informer,F1,19,6.202563277577686,10.566128211071655,186598
informer,F1,20,6.246759365694671,10.80115865853336,186598
informer,F1,21,6.178805310059469,10.747100171314052,186598
informer,F1,22,6.5045898022089785,10.730201561196901,186598
informer,F1,23,6.423629111852525,10.37792921349834,186598
xgboost,F5,0,5.714186667473586,8.865356269645275,195763
xgboost,F5,1,5.637703346545213,8.205499666963819,195763
xgboost,F5,2,5.486957707865158,7.794389084425064,195763
xgboost,F5,3,5.394163587139189,7.738737123741667,195763
xgboost,F5,4,5.330551890970892,7.564527621258866,195763
xgboost,F5,5,5.463562034442576,8.06418682217883,195763
xgboost,F5,6,5.773151621516704,8.369498610382527,195763
xgboost,F5,7,6.318745482723703,9.583274235617276,195763
xgboost,F5,8,6.733273807571999,9.819110937337845,195763
xgboost,F5,9,6.967802644890399,10.259037703092092,195763
xgboost,F5,10,6.881771318220858,10.140521484581221,195763
xgboost,F5,11,6.6281410832656125,9.61342674025227,195763
xgboost,F5,12,6.5012578521074085,9.493247028057073,195763
xgboost,F5,13,6.426943303596761,9.6476588680104,195763
xgboost,F5,14,6.254446885257227,9.313275569718312,195763
xgboost,F5,15,6.107556414576506,9.086273470532463,195763
xgboost,F5,16,5.9709785289164,9.015904246971576,195763
xgboost,F5,17,5.952178876366974,8.921076327034381,195763
xgboost,F5,18,5.969542608572817,9.355153718015064,195763
xgboost,F5,19,5.985001289047723,9.5811890886431,195763
xgboost,F5,20,6.033691257418433,9.746938168571905,195763
xgboost,F5,21,5.9797601240707,9.656493497998852,195763
xgboost,F5,22,6.436323413619791,9.905395690052638,195763
xgboost,F5,23,6.35592211634991,9.746187514923639,195763
