model,feature_config,pm10_bin,mae,rmse,n
airformer,F3,0-10,4.863126811237879,6.75250527721029,1907496
airformer,F3,10-20,3.7585971993919367,4.934165180716676,1793181
airformer,F3,20-40,8.47577588553289,10.333891598888334,964255
airformer,F3,40-80,25.72116119343865,28.732489567580014,115885
airformer,F3,80+,87.76161194149671,94.41602429560886,9631
airformer,F3IL,0-10,4.899666804915151,6.865993919914139,1907496
airformer,F3IL,10-20,3.702765985193816,4.935517544370139,1793181
airformer,F3IL,20-40,8.772749320197649,10.541373728497174,964255
airformer,F3IL,40-80,24.9736496616419,28.080406073230098,115885
airformer,F3IL,80+,76.25814279021164,82.65517988083724,9631
airformer,F5,0-10,5.420724061418793,7.530360303399968,1907496
airformer,F5,10-20,3.812860485083937,5.136665800303047,1793181
airformer,F5,20-40,8.363159419107717,10.185238653166246,964255
airformer,F5,40-80,24.110416479576095,27.38921066178074,115885
airformer,F5,80+,77.56923784262517,83.46265598656514,9631
gat_informer,F2,0-10,4.651053424545354,6.880739020352991,1532437
gat_informer,F2,10-20,4.3193709852553965,5.73991285337226,1516704
gat_informer,F2,20-40,8.928928439840574,10.893308144266092,777066
gat_informer,F2,40-80,25.231352871573566,28.72573816255465,97274
gat_informer,F2,80+,91.99131256545955,97.48223763205819,8151
informer,F1,0-10,5.732619619628967,7.464762026083553,1649627
informer,F1,10-20,3.698702630129819,5.041887517171661,1647581
informer,F1,20-40,8.457795346438646,10.238237016137893,879925
informer,F1,40-80,26.42603937446488,29.26540675089957,106651
informer,F1,80+,90.74695540672201,96.3852623132717,9240
xgboost,F3IL,0-10,6.408872222584175,8.509960219769075,1849745
xgboost,F3IL,10-20,3.901722533006723,5.502440218719265,1801265
xgboost,F3IL,20-40,7.331923774712266,9.189358547718458,964459
xgboost,F3IL,40-80,21.983351254148854,25.235162528181466,115411
xgboost,F3IL,80+,73.23401935150225,79.79403807017155,9600
xgboost,F5,0-10,6.243597221643049,8.33993926762558,1830843
xgboost,F5,10-20,3.8730335089170063,5.414324422002429,1785235
xgboost,F5,20-40,7.3508112130652234,9.202586288247213,957613
xgboost,F5,40-80,22.219739748406965,25.40419785887167,115021
xgboost,F5,80+,72.97333879532913,79.55552899194552,9600
xgboost,F5I,0-10,6.196417620378046,8.27609811339762,1830843
xgboost,F5I,10-20,3.8659119808969087,5.390640872384863,1785235
xgboost,F5I,20-40,7.359529746178726,9.19344928160933,957613
xgboost,F5I,40-80,22.018358998263675,25.269212560451347,115021
xgboost,F5I,80+,73.08949041642249,79.53304377368082,9600
