model,pm10_bin,n,pct,mae
airformer,0-10,1907496,39.818739291189466,4.863126811237879
airformer,10-20,1793181,37.432428031783246,3.7585971993919367
airformer,20-40,964255,20.12870195021426,8.47577588553289
airformer,40-80,115885,2.419084812109431,25.72116119343865
airformer,80+,9631,0.20104591470359345,87.76161194149671
xgboost,0-10,1844023,38.98832479152924,6.421785721106307
xgboost,10-20,1797157,37.9974332301551,3.861863314326166
xgboost,20-40,963519,20.371758765920738,7.303537461307418
xgboost,40-80,115381,2.43950964970146,22.403239190424518
xgboost,80+,9600,0.20297356269345918,83.69452010323604
informer,0-10,1749968,36.902713390151895,5.647483149287235
informer,10-20,1752612,36.95846913780189,3.7215970816807125
informer,20-40,924993,19.505929003785656,8.430979102568541
informer,40-80,110467,2.3294894764189458,26.351874046837246
informer,80+,9552,0.2014292365933154,91.29716519306932
gat_informer,0-10,1532437,38.97712196868883,4.651053424545354
gat_informer,10-20,1516704,38.5769573551136,4.3193709852553965
gat_informer,20-40,777066,19.764464222490812,8.928928439840574
gat_informer,40-80,97274,2.47413796611687,25.231352871573566
gat_informer,80+,8151,0.20731848758988636,91.99131256545955
