model,config,station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct,obs_ma_mean,pred_ma_mean
GAT-Informer,F2,BARAKALDO,9101,342,232,3.7578288100208765,2.5491704208328754,17.32127876776512,16.42096033097657
GAT-Informer,F2,SAN JULIAN,9101,245,150,2.692011866827821,1.648170530710911,18.758675769083325,17.67664526340978
GAT-Informer,F2,ZIERBENA (Puerto),9101,168,46,1.8459509943962202,0.505438962751346,15.409515411226026,13.428144350715192
GAT-Informer,F2,BASAURI,9101,143,59,1.5712559059444016,0.6482804087462917,16.176541912888833,14.722550485333484
GAT-Informer,F2,ALGORTA (BBIZI2),9101,136,49,1.4943412811778924,0.5384023733655642,18.509321294310972,16.89559238945268
GAT-Informer,F2,CASTREJANA,9101,124,66,1.3624876387210196,0.7251950335128008,12.882691421648682,12.004095234104893
GAT-Informer,F2,ERANDIO,9101,86,31,0.9449511042742555,0.3406219096802549,15.041460609582739,13.897917758190081
GAT-Informer,F2,ARRAIZ (Monte),9101,78,34,0.8570486759696736,0.3735853202944731,11.201681101186386,10.373136225350372
GAT-Informer,F2,Mª DIAZ HARO,9101,65,36,0.714207229974728,0.3955609273706186,14.758135502859641,14.25989015594199
GAT-Informer,F2,EUROPA,9101,60,22,0.6592682122843643,0.24173167783760027,14.128346660401505,13.0930338907595
GAT-Informer,F2,MAZARREDO,9101,45,20,0.4944511592132733,0.2197560707614548,13.926853235032592,13.03271076459519
GAT-Informer,F2,LAS CARRERAS,9101,38,17,0.41753653444676403,0.18679266014723656,16.389389400464186,15.451918732743849
GAT-Informer,F2,SANGRONIZ,9101,34,25,0.3735853202944731,0.2746950884518185,13.568481445329965,12.726425437838348
GAT-Informer,F2,ALONSOTEGI,9101,30,16,0.32963410614218214,0.17580485660916384,11.852717608308389,11.069940284422946
GAT-Informer,F2,MUSKIZ,9101,26,9,0.2856828919898912,0.09889023184265465,10.804719237282622,9.738093764897046
GAT-Informer,F2,SANTURCE,9101,20,7,0.2197560707614548,0.07691462476650918,10.090649351498907,8.843059196048928
GAT-Informer,F2,ABANTO,9101,19,7,0.20876826722338201,0.07691462476650918,10.081323450473457,9.257060382556192
GAT-Informer,F2,SAN MIGUEL,9101,0,1,0.0,0.01098780353807274,9.172325348275985,9.039479163898916
