model,config,station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct,obs_ma_mean,pred_ma_mean
Informer,F1,BARAKALDO,10778,361,27,3.349415475969568,0.25051029875672665,18.663929557318163,17.716683974134487
Informer,F1,SAN_JULIAN,11069,245,185,2.2133887433372483,1.6713343572138404,18.71102104349565,19.922043455489984
Informer,F1,ZIERBENA_Puerto,10744,194,1,1.8056589724497394,0.009307520476545048,15.22919377853432,15.184239533617786
Informer,F1,ALGORTA_BBIZI2,11008,176,33,1.5988372093023258,0.29978197674418605,18.568911987675534,19.019370242623406
Informer,F1,BASAURI,10811,161,19,1.4892239385810748,0.17574692442882248,16.176887629421643,16.67352015830619
Informer,F1,CASTREJANA,10976,134,72,1.2208454810495626,0.6559766763848397,12.44973501851451,12.208273130602608
Informer,F1,ARRAIZ_Monte,11041,134,33,1.2136581831355857,0.298885970473689,11.739063472305224,11.357703487301206
Informer,F1,ERANDIO,11079,83,0,0.749165087101724,0.0,15.128038800157764,15.156499383940323
Informer,F1,EUROPA,10999,81,6,0.7364305845985999,0.05455041367397036,14.215428697995804,13.375382319268109
Informer,F1,MAZARREDO,11079,60,17,0.5415651232060655,0.1534434515750519,13.966287651419762,13.732165526934962
Informer,F1,LAS_CARRERAS,11060,38,5,0.3435804701627486,0.045207956600361664,16.41419153556051,15.518265701593993
Informer,F1,SANGRONIZ,11079,32,8,0.2888347323765683,0.07220868309414208,13.597421590547311,14.148357588848192
Informer,F1,ALONSOTEGI,10833,30,6,0.27693159789531985,0.05538631957906397,12.069363702587747,12.333689787232688
Informer,F1,MUSKIZ,11012,26,6,0.23610606610969853,0.05448601525608428,10.611177969297431,10.239919419208418
Informer,F1,SANTURCE,11069,20,0,0.18068479537446924,0.0,9.611633062827183,11.782300487692988
Informer,F1,ABANTO,11079,19,0,0.17149562234858742,0.0,10.407068938461924,11.111332279869448
Informer,F1,SAN_MIGUEL,10882,0,2,0.0,0.01837897445322551,9.561293746065909,10.800297588340943
