station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct
BARAKALDO,11089,214,91,1.930,0.821
ZIERBENA (Puerto),11089,114,30,1.028,0.271
ALGORTA (BBIZI2),11089,113,38,1.019,0.343
SAN JULIAN,11089,82,45,0.739,0.406
BASAURI,11089,63,46,0.568,0.415
CASTREJANA,11089,59,26,0.532,0.234
ERANDIO,11089,33,21,0.298,0.189
LAS CARRERAS,11089,27,18,0.243,0.162
ARRAIZ (Monte),11089,27,21,0.243,0.189
EUROPA,11089,24,35,0.216,0.316
Mª DIAZ HARO,11089,24,21,0.216,0.189
ALONSOTEGI,11089,24,15,0.216,0.135
MUSKIZ,11089,24,15,0.216,0.135
MAZARREDO,11089,24,17,0.216,0.153
SANGRONIZ,11089,23,25,0.207,0.225
SANTURCE,11089,18,17,0.162,0.153
ABANTO,11089,17,12,0.153,0.108
SAN MIGUEL,11089,0,4,0.000,0.036
