station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct
BARAKALDO,10691,215,66,2.011,0.617
ZIERBENA_Puerto,10744,114,14,1.061,0.130
ALGORTA_BBIZI2,10997,113,24,1.028,0.218
SAN_JULIAN,11004,82,74,0.745,0.672
BASAURI,10787,64,90,0.593,0.834
CASTREJANA,10976,59,29,0.538,0.264
ERANDIO,11079,33,52,0.298,0.469
LAS_CARRERAS,10907,27,21,0.248,0.193
ARRAIZ_Monte,10951,27,26,0.247,0.237
Mª_DIAZ_HARO,10395,24,22,0.231,0.212
MAZARREDO,10484,24,20,0.229,0.191
ALONSOTEGI,10833,24,24,0.222,0.222
EUROPA,10851,24,38,0.221,0.350
MUSKIZ,11012,24,24,0.218,0.218
SANGRONIZ,11079,23,22,0.208,0.199
SANTURCE,11018,18,10,0.163,0.091
ABANTO,11073,17,10,0.154,0.090
SAN_MIGUEL,10882,0,0,0.000,0.000
