model,config,station,n_windows,obs_exceed,pred_exceed,obs_pct,pred_pct,obs_ma_mean,pred_ma_mean
XGBoost,F5,BARAKALDO,10691,215,66,2.011037321111215,0.6173416892713497,18.81581080659745,18.880438425736973
XGBoost,F5,ZIERBENA_Puerto,10744,114,14,1.0610573343261356,0.1303052866716307,15.229193813601391,15.61712622286169
XGBoost,F5,ALGORTA_BBIZI2,10997,113,24,1.0275529689915432,0.21824133854687644,18.571125458458365,19.450528815536376
XGBoost,F5,SAN_JULIAN,11004,82,74,0.7451835696110506,0.6724827335514358,18.741079001575184,19.911199342198536
XGBoost,F5,BASAURI,10787,64,90,0.5933067581347918,0.8343376286270511,16.292087698155186,18.100427615923454
XGBoost,F5,CASTREJANA,10976,59,29,0.5375364431486881,0.2642128279883382,12.449735027939747,13.154376107016876
XGBoost,F5,ERANDIO,11079,33,52,0.29786081776333606,0.4693564401119235,15.12803878208021,17.37963909420055
XGBoost,F5,LAS_CARRERAS,10907,27,21,0.2475474465939305,0.1925369029063904,16.417140368570642,16.45306364893786
XGBoost,F5,ARRAIZ_Monte,10951,27,26,0.24655282622591543,0.23742124006940007,11.7874737466898,12.236580911241601
XGBoost,F5,MUSKIZ,11012,24,24,0.2179440610243371,0.2179440610243371,10.611177957379827,11.137500686932526
XGBoost,F5,EUROPA,10851,24,38,0.2211777716339508,0.3501981384204221,14.253283107547691,15.00812048686655
XGBoost,F5,MAZARREDO,10484,24,20,0.22892025944296068,0.19076688286913393,14.069399402263764,13.957040774072535
XGBoost,F5,ALONSOTEGI,10833,24,24,0.22154527831625587,0.22154527831625587,12.069363672728391,12.324366975176437
XGBoost,F5,Mª_DIAZ_HARO,10395,24,22,0.23088023088023088,0.21164021164021166,13.628234728234728,13.900150240063319
XGBoost,F5,SANGRONIZ,11079,23,22,0.20759996389565846,0.1985738785088907,13.59742154827451,14.94907499927963
XGBoost,F5,SANTURCE,11018,18,10,0.16336903249228535,0.0907605736068252,9.574684607006716,12.220476582026164
XGBoost,F5,ABANTO,11073,17,10,0.15352659622505194,0.09030976248532467,10.40552093681327,11.355032717473044
XGBoost,F5,SAN_MIGUEL,10882,0,0,0.0,0.0,9.561293879801507,11.861417877012919
