station,n_points,obs_exceed,pred_exceed,obs_pct,pred_pct
ALGORTA (BBIZI2),266136,16968,2089,6.375687618360537,0.7849370246791115
BARAKALDO,266136,14016,5137,5.266480295788619,1.9302161300988967
SAN JULIAN,266136,12716,2747,4.778008236390417,1.0321790362822016
ZIERBENA (Puerto),266136,12660,1975,4.756966363062495,0.742101782547269
BASAURI,266136,10440,2829,3.9228063847055643,1.0629903507980882
ERANDIO,266136,9192,2116,3.45387320768329,0.7950822136050741
CASTREJANA,266136,7032,1898,2.6422580936062765,0.7131692067213755
ARRAIZ (Monte),266136,6240,2112,2.3446658851113718,0.7935792226530797
EUROPA,266136,6120,2218,2.2995761565515376,0.833408482880933
SANGRONIZ,266136,5325,1374,2.000856704842637,0.5162773920101001
LAS CARRERAS,266136,5055,1569,1.89940481558301,0.5895482009198305
Mª DIAZ HARO,266136,4320,1260,1.6232302281540263,0.4734421498782578
ALONSOTEGI,266136,3960,879,1.4879610424745244,0.33028226170078456
MAZARREDO,266136,3720,1222,1.397781585354856,0.45916373583431025
SANTURCE,266136,2688,688,1.0100099197402832,0.25851444374304866
MUSKIZ,266136,2304,715,0.8657227883488142,0.26865963266901133
ABANTO,266136,1992,531,0.7484894940932456,0.19952204887726577
SAN MIGUEL,266136,768,331,0.2885742627829381,0.1243725012775423
