station,n_points,obs_exceed,pred_exceed,obs_pct,pred_pct
ALGORTA (BBIZI2),22178,1414,534,6.375687618360537,2.4077915050951395
BARAKALDO,22178,1168,705,5.266480295788619,3.178825863468302
ZIERBENA (Puerto),22178,1061,441,4.784020200198395,1.9884570294886823
SAN JULIAN,22178,1060,494,4.779511227342412,2.2274325908558033
BASAURI,22178,870,471,3.9228063847055643,2.1237262151681846
ERANDIO,22178,766,428,3.45387320768329,1.9298403823608983
CASTREJANA,22178,586,267,2.6422580936062765,1.2038957525475698
ARRAIZ (Monte),22178,520,351,2.3446658851113718,1.5826494724501756
EUROPA,22178,510,324,2.2995761565515376,1.4609072053386238
SANGRONIZ,22178,444,227,2.001983948056633,1.0235368383082333
LAS CARRERAS,22178,420,237,1.8937685995130311,1.0686265668680675
Mª DIAZ HARO,22178,360,223,1.6232302281540263,1.0055009468842997
ALONSOTEGI,22178,330,174,1.4879610424745244,0.7845612769411129
MAZARREDO,22178,310,188,1.397781585354856,0.8476868969248805
SANTURCE,22178,224,108,1.0100099197402832,0.4869690684462079
MUSKIZ,22178,192,112,0.8657227883488142,0.5050049598701416
ABANTO,22178,166,91,0.7484894940932456,0.4103165298944901
SAN MIGUEL,22178,64,29,0.2885742627829381,0.1307602128235188
