station,n_points,obs_exceed,pred_exceed,obs_pct,pred_pct
ALGORTA_BBIZI2,263928,16880,1888,6.395683671304295,0.7153466096814283
BARAKALDO,256584,14016,5490,5.462538583855579,2.1396501730427464
SAN_JULIAN,264096,12699,4245,4.808478735005452,1.6073700472555434
ZIERBENA_Puerto,257856,12154,1855,4.713483494663688,0.7193937701662944
BASAURI,258888,10430,5555,4.028769197490807,2.1457155217700317
ERANDIO,265896,9192,4410,3.456990703132052,1.6585431898185756
CASTREJANA,263424,7080,2125,2.6876822157434406,0.8066842808551992
ARRAIZ_Monte,262824,6240,2458,2.374212400694,0.9352266155297841
EUROPA,260424,6120,3162,2.3500138236107273,1.2141738088655425
SANGRONIZ,265896,5315,1238,1.998901826277943,0.4655955712007703
LAS_CARRERAS,261768,5055,1224,1.9310992940313558,0.467589621344091
Mª_DIAZ_HARO,249480,4320,1720,1.7316017316017316,0.6894340227673561
ALONSOTEGI,259992,3984,1208,1.5323548416874366,0.46462968091325885
MAZARREDO,251616,3408,695,1.354444868370851,0.2762145491542668
SANTURCE,264432,2664,446,1.0074423670357597,0.16866339928601684
MUSKIZ,264288,2304,772,0.8717762440973484,0.2921055817895629
ABANTO,265752,1992,367,0.7495710286281947,0.1380986784671423
SAN_MIGUEL,261168,768,321,0.29406359125160814,0.12290939165594561
