station,n_points,obs_exceed,pred_exceed,obs_pct,pred_pct
ALGORTA_BBIZI2,21994,1410,569,6.410839319814494,2.5870692006910976
BARAKALDO,21382,1168,896,5.462538583855579,4.190440557478253
SAN_JULIAN,22008,1060,634,4.816430388949473,2.880770628862232
ZIERBENA_Puerto,21488,1019,485,4.7421816827997025,2.257073715562174
BASAURI,21574,870,614,4.032631871697413,2.8460183554278298
ERANDIO,22158,766,592,3.456990703132052,2.671721274483257
CASTREJANA,21952,590,392,2.6876822157434406,1.7857142857142856
ARRAIZ_Monte,21902,520,409,2.374212400694,1.8674093690073965
EUROPA,21702,510,335,2.3500138236107273,1.5436365311952815
SANGRONIZ,22158,444,250,2.0037909558624425,1.12826067334597
LAS_CARRERAS,21814,420,193,1.9253690290639038,0.8847529109746035
Mª_DIAZ_HARO,20790,360,275,1.7316017316017316,1.3227513227513228
ALONSOTEGI,21666,332,267,1.5323548416874366,1.2323456106341735
MAZARREDO,20968,284,177,1.354444868370851,0.8441434566959175
SANTURCE,22036,222,57,1.0074423670357597,0.2586676347794518
MUSKIZ,22024,192,130,0.8717762440973484,0.5902651652742462
ABANTO,22146,166,69,0.7495710286281947,0.3115686805743701
SAN_MIGUEL,21764,64,30,0.29406359125160814,0.13784230839919132
