model,feature_config,slice,n,mae,rmse,pct_sah
airformer,F3,bin_0-10,1907496,4.863126811235879,6.752505277204202,9.281382503554399
airformer,F3,bin_10-20,1793181,3.758597199391405,4.934165180717802,14.012584340342665
airformer,F3,bin_20-40,964255,8.475775885387502,10.33389159861934,34.73292853031615
airformer,F3,bin_40-80,115885,25.72116119013451,28.732489562936923,55.9226819691936
airformer,F3,bin_80+,9631,87.7616119614495,94.41602432383766,70.67801889731076
airformer,F3,sah_0,3955608,5.151914284864711,7.688197185285891,0.0
airformer,F3,sah_1,834840,9.14669252753309,14.737336553784752,100.0
airformer,F3,bin_ge40,125516,30.481602738451336,38.02922556700643,57.054877465821086
airformer,F3,bin_ge40_and_sah,71613,30.300005915803734,39.321040836026924,100.0
airformer,F3S,bin_0-10,1907496,4.690251813636041,6.631541052513654,9.281382503554399
airformer,F3S,bin_10-20,1793181,3.747735650716229,4.958262871215192,14.012584340342665
airformer,F3S,bin_20-40,964255,8.702713452512691,10.584794391717203,34.73292853031615
airformer,F3S,bin_40-80,115885,25.474988169122227,28.59219329139111,55.9226819691936
airformer,F3S,bin_80+,9631,86.70708920321674,93.60276388044225,70.67801889731076
airformer,F3S,sah_0,3955608,5.1079008251349105,7.690036097330932,0.0
airformer,F3S,sah_1,834840,9.152689747170422,14.732608478082954,100.0
airformer,F3S,bin_ge40,125516,30.173404028927862,37.776498292677836,57.054877465821086
airformer,F3S,bin_ge40_and_sah,71613,29.559124662687925,38.68476120248223,100.0
airformer,F5,bin_0-10,1907496,5.169324273365154,7.064377285608287,9.281382503554399
airformer,F5,bin_10-20,1793181,3.5987172314432905,4.860176334034267,14.012584340342665
airformer,F5,bin_20-40,964255,8.520226456518389,10.337572808338203,34.73292853031615
airformer,F5,bin_40-80,115885,25.21835204387506,28.333656801253124,55.9226819691936
airformer,F5,bin_80+,9631,85.88876406543166,92.52347536297671,70.67801889731076
airformer,F5,sah_0,3955608,5.201281438038488,7.716549433972306,0.0
airformer,F5,sah_1,834840,9.2289308688322,14.705642364301855,100.0
airformer,F5,bin_ge40,125516,29.87366880173551,37.39066226528161,57.054877465821086
airformer,F5,bin_ge40_and_sah,71613,29.062206753956936,38.131374821396186,100.0
xgboost,F3,bin_0-10,1849745,6.463538683088819,8.39791946313269,8.768073437149445
xgboost,F3,bin_10-20,1801265,3.8074253682584556,5.179221301933722,14.012874285571527
xgboost,F3,bin_20-40,964459,7.372714864898314,9.16536210737375,34.75171054446068
xgboost,F3,bin_40-80,115411,22.994245831954068,26.178773521783445,56.03625304347073
xgboost,F3,bin_80+,9600,85.97450423380981,92.06730866360441,70.90625
xgboost,F3,sah_0,3919239,5.5796316805720485,7.930411431718013,0.0
xgboost,F3,sah_1,821241,9.176351011961007,14.546309834341558,100.0
xgboost,F3,bin_ge40,125011,27.830704068891738,35.82776895501818,57.17816832118774
xgboost,F3,bin_ge40_and_sah,71479,28.044482155555087,37.47102330715545,100.0
xgboost,F3S,bin_0-10,1753065,6.575823680637068,8.590851093678983,8.696825274590502
xgboost,F3S,bin_10-20,1688964,3.8716196952768973,5.342011753739658,14.18259951070597
xgboost,F3S,bin_20-40,914048,7.27270095776616,9.092899322869178,34.666888390981654
xgboost,F3S,bin_40-80,111355,22.49487353414451,25.693656127207458,55.620313412060526
xgboost,F3S,bin_80+,9288,83.56662104853159,89.67693479766648,70.18733850129199
xgboost,F3S,sah_0,3699393,5.617854543595711,8.018460605839403,0.0
xgboost,F3S,sah_1,777327,9.279109098038756,14.50316853630878,100.0
xgboost,F3S,bin_ge40,120643,27.196633196235368,35.049525519061866,56.74179189841101
xgboost,F3S,bin_ge40_and_sah,68455,26.461852886836827,35.82126170282779,100.0
xgboost,F5,bin_0-10,1844023,6.421785721106307,8.482086387261143,8.787200593485005
xgboost,F5,bin_10-20,1797157,3.861863314326166,5.326433959001927,13.999778539103708
xgboost,F5,bin_20-40,963519,7.303537461307418,9.125251247826945,34.740466975742045
xgboost,F5,bin_40-80,115381,22.403239190424518,25.608694233856376,56.02222202962359
xgboost,F5,bin_80+,9600,83.69452010323604,89.85799093192959,70.90625
xgboost,F5,sah_0,3909867,5.525779857962002,7.911844417371137,0.0
xgboost,F5,sah_1,819813,9.273704599059377,14.498259081198773,100.0
xgboost,F5,bin_ge40,124981,27.111125163196302,35.00920465295,57.165489154351455
xgboost,F5,bin_ge40_and_sah,71446,26.482769361752275,35.92306092028678,100.0
