model,model_label,feature_config,station,station_key,lead,mae,rmse,n_windows
xgboost,XGBoost,F5,ABANTO,ABANTO,1,2.487802871319161,4.379975997552741,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,2,3.2955321098266444,5.314491234247276,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,3,3.6677135342689513,5.686499024718823,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,4,3.9256539639392694,5.9699290103110965,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,5,4.118866965079129,6.209410086799512,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,6,4.267032418676931,6.352355501197212,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,7,4.420803716030266,6.497691160615656,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,8,4.546132734751385,6.636127339792408,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,9,4.66107306076261,6.784329552511901,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,10,4.759758013013707,6.886827501058782,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,11,4.835734004935824,6.9685909895617195,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,12,4.920495999502122,7.032616908485569,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,13,4.9611611994238904,7.074086031522598,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,14,5.042819009185279,7.184628640805058,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,15,5.086022266406715,7.218146735335009,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,16,5.113980745871969,7.2390279118015215,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,17,5.1728661249137815,7.30644710465304,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,18,5.1831974784694665,7.31693375421335,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,19,5.2093138136558395,7.365250644868302,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,20,5.282836082321211,7.470967181883906,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,21,5.308936767436879,7.528188690877973,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,22,5.351838406816274,7.609113695345301,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,23,5.390623833906421,7.653614901991436,11073
xgboost,XGBoost,F5,ABANTO,ABANTO,24,5.399467790028832,7.653165472459701,11073
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,1,1.9842516712565619,3.7338115312238958,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,2,2.680166463266491,4.853142952658003,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,3,3.1204666109505976,5.4693024349691255,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,4,3.4168341854161626,5.878242335990515,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,5,3.639544874094115,6.12644730180554,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,6,3.820144658581456,6.334941548325602,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,7,3.952356686429288,6.484440434832299,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,8,4.084746715267312,6.638974838058333,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,9,4.216880348046563,6.768624625662696,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,10,4.3009666646128775,6.8796702674375,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,11,4.358744827673905,6.916906887973777,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,12,4.440771330563407,6.972051620750968,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,13,4.4726470912581044,7.005937744849879,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,14,4.519871085611552,7.050898854019217,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,15,4.599079306044234,7.188079035751239,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,16,4.66941423070591,7.3389997792482475,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,17,4.69462531547394,7.4096855162892785,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,18,4.760378714565619,7.501911760716924,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,19,4.770397886725889,7.549886751494864,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,20,4.813253911633601,7.696903252357747,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,21,4.822459937874031,7.805040270807169,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,22,4.848494696868276,7.86652034171358,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,23,4.887369931285441,8.027402593687539,11012
xgboost,XGBoost,F5,MUSKIZ,MUSKIZ,24,4.9258979889335865,8.038250680582847,11012
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,1,2.2749592514015196,3.80442870397352,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,2,3.644753268900026,5.358531859967169,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,3,4.476774536604852,6.517171405144111,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,4,4.922932202395867,7.1582102393399225,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,5,5.160117696177362,7.5150418365972405,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,6,5.319629010847816,7.699507169498333,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,7,5.440590667755421,7.879017584608853,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,8,5.526259087992432,8.049981750597942,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,9,5.606374927145022,8.110851075678433,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,10,5.648582153611706,8.108629796223417,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,11,5.685373236133178,8.087929755897367,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,12,5.707847699029156,8.08605779369178,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,13,5.75620110651402,8.140977661998503,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,14,5.855184207802871,8.305195969888839,10833
xgboost,XGBoost,F5,ALONSOTEGI,ALONSOTEGI,15,5.906484101052585,8.36888569265528,10833
