model,model_label,feature_config,lead,mae,rmse,n_stations
airformer,AirFormer,F5,1,3.439565258634538,5.626650389373157,18
airformer,AirFormer,F5,2,4.312625053059097,6.876158379832068,18
airformer,AirFormer,F5,3,4.794761355542629,7.546995125002066,18
airformer,AirFormer,F5,4,5.1457317354272964,8.029684701935425,18
airformer,AirFormer,F5,5,5.388853132970225,8.348153480519835,18
airformer,AirFormer,F5,6,5.595538174606402,8.614328252889264,18
airformer,AirFormer,F5,7,5.74610988359731,8.806467845531094,18
airformer,AirFormer,F5,8,5.882925116608883,8.960549939602311,18
airformer,AirFormer,F5,9,6.0058234536209785,9.08629115920697,18
airformer,AirFormer,F5,10,6.105817708313018,9.183637595435227,18
airformer,AirFormer,F5,11,6.189615090387063,9.26057690412945,18
airformer,AirFormer,F5,12,6.255900316270129,9.316411334711887,18
airformer,AirFormer,F5,13,6.330917962771535,9.371092940067648,18
airformer,AirFormer,F5,14,6.382902400228282,9.418818695123129,18
airformer,AirFormer,F5,15,6.453140840725237,9.485370771408409,18
airformer,AirFormer,F5,16,6.503542692510472,9.549738129687215,18
airformer,AirFormer,F5,17,6.565387252404325,9.625943247589582,18
airformer,AirFormer,F5,18,6.614337971479928,9.711475134104662,18
airformer,AirFormer,F5,19,6.66579619267748,9.779135036646162,18
airformer,AirFormer,F5,20,6.705193811881456,9.864921030075001,18
airformer,AirFormer,F5,21,6.728870616664048,9.908142641206846,18
airformer,AirFormer,F5,22,6.771398058921961,9.98487848406116,18
airformer,AirFormer,F5,23,6.7952504669420355,10.029957899851718,18
airformer,AirFormer,F5,24,6.819360544451709,10.07729812623942,18
gat_informer,GAT-Informer,F2,1,4.339603207779812,7.027242770402327,18
gat_informer,GAT-Informer,F2,2,4.686930202229648,7.558157648611803,18
gat_informer,GAT-Informer,F2,3,4.974046009791624,7.986388515869226,18
gat_informer,GAT-Informer,F2,4,5.223199324138299,8.350689847507036,18
gat_informer,GAT-Informer,F2,5,5.4360553619955345,8.660156712831885,18
gat_informer,GAT-Informer,F2,6,5.612726201994967,8.91577854156213,18
gat_informer,GAT-Informer,F2,7,5.7608083942278965,9.133542965511781,18
gat_informer,GAT-Informer,F2,8,5.890803910837332,9.31716328311157,18
gat_informer,GAT-Informer,F2,9,6.006875649917392,9.470141845962388,18
gat_informer,GAT-Informer,F2,10,6.100500265189215,9.600820243001984,18
gat_informer,GAT-Informer,F2,11,6.1837350743438755,9.706885624118367,18
gat_informer,GAT-Informer,F2,12,6.2588744504615255,9.799777179721493,18
gat_informer,GAT-Informer,F2,13,6.322365407185935,9.87781960121788,18
