station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error,feature_config,station_key,model,model_label
ABANTO,ok,4.946704299115701,7.337316488762053,3.356809395325711,4.659311646985721,,,F1,ABANTO,informer,Informer2020
ALGORTA_BBIZI2,ok,8.87129302031329,13.040837362680485,5.521354728073379,7.58161211149386,,,F1,ALGORTA_BBIZI2,informer,Informer2020
ALONSOTEGI,ok,5.96735236425608,8.887229789964913,3.8002694019320247,5.601112705459253,,,F1,ALONSOTEGI,informer,Informer2020
ARRAIZ_Monte,ok,5.298604082160984,8.387063051873108,3.981696960629072,5.967806876027336,,,F1,ARRAIZ_MONTE,informer,Informer2020
BARAKALDO,ok,6.878412864902294,10.4976183399856,4.66456720613686,6.687286729512696,,,F1,BARAKALDO,informer,Informer2020
BASAURI,ok,7.1842180023201045,11.304298249850053,4.926888622242013,6.961303104385895,,,F1,BASAURI,informer,Informer2020
CASTREJANA,ok,6.855322837581741,10.067333537443208,4.160936396027601,6.006690991486722,,,F1,CASTREJANA,informer,Informer2020
ERANDIO,ok,6.576497892341261,9.8496503366544,4.449834736940144,6.187211347477329,,,F1,ERANDIO,informer,Informer2020
EUROPA,ok,5.967404143166706,9.251424519403246,4.140211153813191,6.095337289118005,,,F1,EUROPA,informer,Informer2020
LAS_CARRERAS,ok,6.047569926774815,9.036872530442464,4.167868036384249,5.716400940842741,,,F1,LAS_CARRERAS,informer,Informer2020
MAZARREDO,ok,5.095531170292925,8.036481224449705,3.5963348829665667,5.402985145589152,,,F1,MAZARREDO,informer,Informer2020
MUSKIZ,ok,4.38439356290297,7.608754806393653,3.171773090406907,5.100676585714381,,,F1,MUSKIZ,informer,Informer2020
M_DIAZ_HARO,ok,5.475540437476738,8.56399787680958,3.90897371773585,5.788001733504736,,,F1,M_DIAZ_HARO,informer,Informer2020
SANGRONIZ,ok,6.421817101781747,9.594524820252175,4.066748835985764,5.741986692294251,,,F1,SANGRONIZ,informer,Informer2020
SANTURCE,ok,6.755951233034267,8.991451139273739,4.835570790062972,6.156367384816586,,,F1,SANTURCE,informer,Informer2020
SAN_JULIAN,ok,7.0790405462363495,11.639496874340464,4.811803739766973,7.9717419558682305,,,F1,SAN_JULIAN,informer,Informer2020
SAN_MIGUEL,ok,4.463658467910988,5.924979320941505,3.323275723818695,4.122674053620523,,,F1,SAN_MIGUEL,informer,Informer2020
ZIERBENA_Puerto,ok,8.30153136613508,13.37860513319622,5.127583891574145,7.282389991345715,,,F1,ZIERBENA_PUERTO,informer,Informer2020
ABANTO,ok,4.950269662655999,7.398992166237144,3.363270479204065,4.698502993201308,,,F2,ABANTO,informer,Informer2020
ALGORTA_BBIZI2,ok,10.0797011020456,13.604463854818585,6.939479956962392,8.658743118906646,,,F2,ALGORTA_BBIZI2,informer,Informer2020
ALONSOTEGI,ok,6.075110169946032,8.933573832710518,3.998899321365499,5.785312782787384,,,F2,ALONSOTEGI,informer,Informer2020
ARRAIZ_Monte,ok,5.573397637880579,8.815319885574201,4.278598196825032,6.471949803424911,,,F2,ARRAIZ_MONTE,informer,Informer2020
BARAKALDO,ok,7.207911656744387,10.559257068890604,4.978206618405918,6.809136143742089,,,F2,BARAKALDO,informer,Informer2020
BASAURI,ok,7.079028938612876,11.432027906193776,4.9131297070473465,7.099920565135064,,,F2,BASAURI,informer,Informer2020
CASTREJANA,ok,6.856713474644923,10.204848060101767,4.247364987563175,6.11755671906892,,,F2,CASTREJANA,informer,Informer2020
ERANDIO,ok,6.826160249870567,9.975529489610487,4.693359900756461,6.427963892953561,,,F2,ERANDIO,informer,Informer2020
EUROPA,ok,6.072614111348211,9.071262414974363,4.2842320244694845,5.978866708959629,,,F2,EUROPA,informer,Informer2020
LAS_CARRERAS,ok,6.164000189684586,9.13094929667117,4.212914881752161,5.743312565113376,,,F2,LAS_CARRERAS,informer,Informer2020
MAZARREDO,ok,5.2443059631104285,7.998831234038655,3.713460356190829,5.414114786995581,,,F2,MAZARREDO,informer,Informer2020
MUSKIZ,ok,4.699665896981463,7.816743558903512,3.5056230555615944,5.3550789223182775,,,F2,MUSKIZ,informer,Informer2020
M_DIAZ_HARO,ok,5.560601104227159,8.704739478060999,4.02678166226999,5.879575531562207,,,F2,M_DIAZ_HARO,informer,Informer2020
SANGRONIZ,ok,6.68021450469192,9.940988250708385,4.4188664851099375,6.189350952285748,,,F2,SANGRONIZ,informer,Informer2020
SANTURCE,ok,5.605235352479316,8.033168530475637,3.755675187780031,5.000057336778355,,,F2,SANTURCE,informer,Informer2020
