station,station_key,model,feature_config,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse
SAN MIGUEL,SAN_MIGUEL,gat_informer,F2,3.735091209411621,5.598509311676025,2.7167489528656006,3.875713586807251
ABANTO,ABANTO,airformer,F5I,4.532980442047119,6.850273609161377,2.903872489929199,3.9949865341186523
MUSKIZ,MUSKIZ,xgboost,F3I,4.191689536225455,6.860463406911944,2.915358594295104,4.186927917997433
ALONSOTEGI,ALONSOTEGI,xgboost,F5,5.492164203409319,7.980579913304977,3.3097483176330984,4.555855923192653
SANTURCE,SANTURCE,airformer,F3IL,5.275970458984375,7.713796615600586,3.337613821029663,4.672278881072998
MAZARREDO,MAZARREDO,xgboost,F5,4.92653248047959,7.40821079772027,3.382282668308919,4.73086669009183
SANGRONIZ,SANGRONIZ,airformer,F3I,5.896292686462402,8.964821815490723,3.515615224838257,4.876306533813477
CASTREJANA,CASTREJANA,airformer,F3IL,6.362091064453125,9.146402359008789,3.6986589431762695,5.005274772644043
LAS_CARRERAS,LAS_CARRERAS,xgboost,F5I,5.877863279872417,8.80044394734969,3.7971130842331298,5.071288589516387
EUROPA,EUROPA,xgboost,F5I,5.542667430310361,8.389711610453087,3.693594368027505,5.140655759769613
Mª DIAZ HARO,M_DIAZ_HARO,airformer,F3I,5.1603264808654785,7.956934452056885,3.664423942565918,5.148492336273193
ARRAIZ_Monte,ARRAIZ_MONTE,xgboost,F5I,5.376367937301235,8.03271787194766,3.978369018719036,5.5463538035220425
ERANDIO,ERANDIO,airformer,F3I,6.013596534729004,9.319218635559082,4.098723888397217,5.670725345611572
SAN JULIAN,SAN_JULIAN,airformer,F3I,6.265814781188965,9.632678031921387,3.935436487197876,5.772629737854004
BARAKALDO,BARAKALDO,xgboost,F5,6.613622731075422,9.925120203223583,4.230648218072339,5.918471730853358
BASAURI,BASAURI,xgboost,F3IL,6.838389876867427,10.551699811081336,4.496298370623914,6.06114074479315
ZIERBENA_Puerto,ZIERBENA_PUERTO,xgboost,F5,7.955780257472524,12.665906679164836,4.521083425981038,6.183497732135037
ALGORTA_BBIZI2,ALGORTA_BBIZI2,xgboost,F3I,8.593568756533859,12.459257342590384,5.255262539985539,7.051697969425246
