station,station_key,sel_model,sel_config,n_points,sel_half_rmse,deployed_eval_rmse,ora_model,ora_config,oracle_eval_rmse,agree_with_oracle,model_label
MUSKIZ,MUSKIZ,xgboost,F3I,11012,4.634104429845826,3.685892960233101,airformer,F3I,3.5729005548549746,False,XGBoost
ABANTO,ABANTO,airformer,F5I,11089,4.209268052262713,3.7685829080057336,xgboost,F5,3.7320212136503894,False,AirFormer
SAN_MIGUEL,SAN_MIGUEL,xgboost,F1,10882,3.419839858123041,4.44112836706894,airformer,F5I,3.947762369749216,False,XGBoost
SANGRONIZ,SANGRONIZ,airformer,F3I,11089,5.223096423716395,4.502957348636621,airformer,F5,4.501622736069214,False,AirFormer
MAZARREDO,MAZARREDO,xgboost,F5,10484,4.936889592132413,4.515453513650153,xgboost,F4,4.482239734842329,False,XGBoost
Mª DIAZ HARO,M_DIAZ_HARO,airformer,F3I,11089,5.6772706764862795,4.558900843511565,airformer,F3I,4.558900843511565,True,AirFormer
ALONSOTEGI,ALONSOTEGI,xgboost,F3I,10833,4.44033155408085,4.716096068235832,airformer,F3,4.5419340170919975,False,XGBoost
EUROPA,EUROPA,airformer,F3IL,11089,5.591627103699334,4.757221181574125,xgboost,F5I,4.469272339591291,False,AirFormer
LAS_CARRERAS,LAS_CARRERAS,xgboost,F5,10907,5.272028294722827,4.898304014771676,xgboost,F5I,4.835127655027469,False,XGBoost
CASTREJANA,CASTREJANA,airformer,F3IL,11089,4.868383980364313,5.138496332761861,airformer,F3IL,5.138496332761861,True,AirFormer
ERANDIO,ERANDIO,airformer,F3I,11089,5.815419093145927,5.522269177979372,xgboost,F5I,5.401519940083458,False,AirFormer
SANTURCE,SANTURCE,airformer,F3I,11089,4.303053526758557,5.832247793999529,gat_informer,F2,4.143986518197884,False,AirFormer
ARRAIZ_Monte,ARRAIZ_MONTE,xgboost,F5,10951,5.205901262039539,5.907802478286006,gat_informer,F3,5.19231164545567,False,XGBoost
BASAURI,BASAURI,airformer,F3IL,11089,6.536573611258152,6.2173809874730095,xgboost,F3IL,5.492211910407717,False,AirFormer
BARAKALDO,BARAKALDO,xgboost,F3I,10778,5.592322071060324,6.288045376354144,xgboost,F5,6.216579423812692,False,XGBoost
ALGORTA_BBIZI2,ALGORTA_BBIZI2,xgboost,F3I,11008,7.6720867395951835,6.371183058437422,xgboost,F5,6.346602666238905,False,XGBoost
SAN JULIAN,SAN_JULIAN,airformer,F3IL,11089,5.435863159171088,6.456132077979892,gat_informer,F2,5.721628975331755,False,AirFormer
ZIERBENA_Puerto,ZIERBENA_PUERTO,xgboost,F3I,10744,5.722480476066314,6.670288726001693,xgboost,F5,6.483962960123036,False,XGBoost
