scheme,model,model_label,feature_config,n_stations,ma24_rmse,pers_ma24_rmse,skill,improvement_pct,rank
equal,airformer,AirFormer,F3,18,5.704182386398315,7.203536993207242,0.2081414461011002,20.81414461011002,1
difficulty,airformer,AirFormer,F3,18,5.847190713651503,7.400782438730519,0.2099226315515781,20.992263155157808,1
inv_difficulty,airformer,AirFormer,F3,18,5.551118608612229,6.9841150699897785,0.20517938880117093,20.517938880117093,1
tertile_equal,airformer,AirFormer,F3,18,5.704182386398315,7.203536993207243,0.2081414461011003,20.81414461011003,1
equal,xgboost,XGBoost,F5,18,5.783970901764557,7.203536993207242,0.1970651490762525,19.706514907625248,2
difficulty,xgboost,XGBoost,F5,18,5.879057230711407,7.400782438730519,0.20561680073926603,20.561680073926603,2
inv_difficulty,xgboost,XGBoost,F5,18,5.686495351719371,6.9841150699897785,0.18579586751744437,18.579586751744436,2
tertile_equal,xgboost,XGBoost,F5,18,5.783970901764557,7.203536993207243,0.1970651490762526,19.706514907625262,2
equal,informer,Informer2020,F1,18,6.057272071419062,7.203536993207242,0.1591252912102874,15.91252912102874,3
difficulty,informer,Informer2020,F1,18,6.192884781457214,7.400782438730519,0.16321215591367932,16.32121559136793,3
inv_difficulty,informer,Informer2020,F1,18,5.909511628208181,6.9841150699897785,0.15386393709334611,15.386393709334612,3
tertile_equal,informer,Informer2020,F1,18,6.057272071419064,7.203536993207243,0.1591252912102873,15.91252912102873,3
equal,gat_informer,GAT-Informer,F2,18,6.096808711687724,7.203536993207242,0.1536367873952943,15.36367873952943,4
difficulty,gat_informer,GAT-Informer,F2,18,6.258048636482447,7.400782438730519,0.15440716055478176,15.440716055478177,4
inv_difficulty,gat_informer,GAT-Informer,F2,18,5.918694722835967,6.9841150699897785,0.15254908266500977,15.254908266500976,4
tertile_equal,gat_informer,GAT-Informer,F2,18,6.096808711687724,7.203536993207243,0.1536367873952944,15.36367873952944,4
