date,pm10_daily,p40,sah_net,sah_net_clipped
2012-07-27,13.0,21.0,-8.0,0.0
2012-08-08,22.0,17.0,5.0,5.0
2012-08-09,19.0,16.400000000000002,2.599999999999998,2.599999999999998
2012-08-10,24.0,14.600000000000001,9.399999999999999,9.399999999999999
2012-08-11,25.0,13.600000000000001,11.399999999999999,11.399999999999999
2012-08-17,19.0,10.0,9.0,9.0
2012-08-18,20.0,10.0,10.0,10.0
2012-08-19,21.0,10.0,11.0,11.0
2012-08-20,16.0,10.0,6.0,6.0
2012-08-21,20.0,10.0,10.0,10.0
2012-08-22,12.0,10.0,2.0,2.0
2012-09-10,28.0,10.0,18.0,18.0
2012-09-11,23.0,10.0,13.0,13.0
2012-09-12,6.0,10.0,-4.0,0.0
2012-09-21,30.0,10.8,19.2,19.2
2012-09-22,21.0,10.4,10.6,10.6
2012-10-05,20.0,10.0,10.0,10.0
2012-10-06,21.0,10.200000000000001,10.799999999999999,10.799999999999999
2012-10-07,19.0,10.600000000000001,8.399999999999999,8.399999999999999
2012-10-18,14.0,10.600000000000001,3.3999999999999986,3.3999999999999986
2012-10-19,11.0,9.200000000000001,1.799999999999999,1.799999999999999
2012-11-14,20.0,10.0,10.0,10.0
2013-08-01,27.0,14.0,13.0,13.0
2013-08-02,25.0,14.0,11.0,11.0
2013-09-24,20.0,5.0,15.0,15.0
2013-09-25,26.0,5.0,21.0,21.0
2013-09-26,21.0,5.0,16.0,16.0
2013-09-27,17.0,5.0,12.0,12.0
2014-03-21,18.0,8.0,10.0,10.0
2014-04-11,17.0,5.800000000000001,11.2,11.2
2014-04-12,31.0,5.800000000000001,25.2,25.2
2014-04-13,22.0,5.0,17.0,17.0
2014-04-14,20.0,5.0,15.0,15.0
2014-04-15,27.0,5.0,22.0,22.0
2014-04-16,14.0,5.0,9.0,9.0
2014-04-17,8.0,5.0,3.0,3.0
2014-06-06,42.0,11.8,30.2,30.2
2014-06-11,16.0,12.8,3.1999999999999993,3.1999999999999993
2014-06-12,23.0,13.0,10.0,10.0
2014-06-13,19.0,13.0,6.0,6.0
2014-06-14,21.0,13.0,8.0,8.0
2014-06-20,18.0,12.0,6.0,6.0
2014-06-21,25.0,12.0,13.0,13.0
2014-07-17,36.0,10.0,26.0,26.0
2014-07-18,29.0,9.8,19.2,19.2
2014-10-19,0.0,4.800000000000001,-4.800000000000001,0.0
2014-10-20,0.0,4.800000000000001,-4.800000000000001,0.0
2014-10-21,0.0,4.800000000000001,-4.800000000000001,0.0
2014-10-24,26.0,4.800000000000001,21.2,21.2
2014-10-25,23.0,4.800000000000001,18.2,18.2
2014-10-26,23.0,4.800000000000001,18.2,18.2
2014-10-27,24.0,5.800000000000001,18.2,18.2
2014-10-28,26.0,6.800000000000001,19.2,19.2
2014-10-29,22.0,7.800000000000001,14.2,14.2
2014-10-30,27.0,8.0,19.0,19.0
2014-10-31,24.0,8.0,16.0,16.0
2014-11-01,27.0,8.0,19.0,19.0
2014-11-21,28.0,8.600000000000001,19.4,19.4
2014-11-22,31.0,8.0,23.0,23.0
2014-11-23,55.0,8.0,47.0,47.0
2014-11-24,26.0,8.0,18.0,18.0
2014-12-01,12.0,9.200000000000003,2.799999999999997,2.799999999999997
2014-12-27,18.0,8.0,10.0,10.0
2015-04-08,11.0,6.4,4.6,4.6
2015-04-09,10.0,7.0,3.0,3.0
2015-04-10,10.0,7.0,3.0,3.0
2015-04-11,12.0,7.0,5.0,5.0
2015-04-12,17.0,7.0,10.0,10.0
2015-04-13,28.0,7.4,20.6,20.6
2015-04-14,19.0,8.0,11.0,11.0
2015-04-15,19.0,7.4,11.6,11.6
2015-04-16,14.0,7.0,7.0,7.0
2015-04-17,14.0,7.0,7.0,7.0
2015-04-18,13.0,7.0,6.0,6.0
2015-04-21,11.0,7.0,4.0,4.0
2015-04-22,11.0,7.0,4.0,4.0
2015-05-11,17.0,10.4,6.6,6.6
2015-05-12,22.0,11.0,11.0,11.0
2015-05-13,20.0,11.0,9.0,9.0
2015-06-10,8.0,11.0,-3.0,0.0
2015-06-11,6.0,11.0,-5.0,0.0
2015-06-12,10.0,11.0,-1.0,0.0
2015-06-30,24.0,10.0,14.0,14.0
2015-07-01,22.0,10.0,12.0,12.0
2015-07-02,11.0,10.0,1.0,1.0
2015-07-03,19.0,10.0,9.0,9.0
2015-07-04,15.0,10.2,4.800000000000001,4.800000000000001
2015-07-05,8.0,11.0,-3.0,0.0
2015-07-06,17.0,11.0,6.0,6.0
2015-07-07,15.0,10.2,4.800000000000001,4.800000000000001
2015-07-16,24.0,10.0,14.0,14.0
2015-07-17,21.0,10.0,11.0,11.0
2015-07-18,19.0,10.0,9.0,9.0
2015-08-03,17.0,9.0,8.0,8.0
2015-08-10,9.0,9.0,0.0,0.0
2015-08-11,18.0,9.0,9.0,9.0
2015-08-12,23.0,9.200000000000001,13.799999999999999,13.799999999999999
2015-08-21,14.0,9.0,5.0,5.0
2015-08-22,10.0,9.0,1.0,1.0
2015-08-29,17.0,9.0,8.0,8.0
2015-08-30,19.0,9.0,10.0,10.0
2015-08-31,14.0,9.0,5.0,5.0
2015-11-18,15.0,7.0,8.0,8.0
2015-11-19,16.0,7.0,9.0,9.0
2015-11-20,18.0,7.0,11.0,11.0
2015-12-03,5.0,5.2,-0.20000000000000018,0.0
2015-12-04,4.0,5.2,-1.2000000000000002,0.0
2015-12-05,5.0,5.2,-0.20000000000000018,0.0
2015-12-06,8.0,4.2,3.8,3.8
2015-12-07,12.0,3.2,8.8,8.8
2015-12-15,16.0,1.0,15.0,15.0
2015-12-16,21.0,1.0,20.0,20.0
2015-12-17,17.0,1.0,16.0,16.0
2015-12-18,13.0,1.0,12.0,12.0
2015-12-19,16.0,1.0,15.0,15.0
2015-12-20,12.0,1.0,11.0,11.0
2015-12-28,6.0,4.0,2.0,2.0
2016-01-25,11.0,4.0,7.0,7.0
2016-01-26,7.0,4.0,3.0,3.0
2016-01-27,11.0,4.0,7.0,7.0
2016-02-21,16.0,1.8000000000000007,14.2,14.2
