model,config,h24_ma24_rmse,h48_ma24_d1_rmse,h48_ma24_d2_rmse,h24_hourly_rmse,h48_hourly_rmse,d1_vs_h24_delta,d2_vs_d1_delta
Informer2020,F1,6.0731,6.0853,7.4232,9.5785,10.0431,0.0122,1.3378
Informer2020,F2,6.1723,6.3122,7.6188,9.623,10.2121,0.1399,1.3066
Informer2020,F3,6.2647,6.4391,7.8841,9.709,10.4136,0.1744,1.445
Informer2020,F4,6.2742,6.5532,7.9845,9.7339,10.5006,0.2789,1.4313
Informer2020,F5,6.2049,6.4446,8.1747,9.6583,10.5451,0.2398,1.7301
AirFormer,F1,6.2288,6.498,7.7563,9.5007,10.2267,0.2692,1.2583
AirFormer,F2,6.274,5.9006,7.425,9.5157,9.8703,-0.3735,1.5245
AirFormer,F3,5.7042,5.8636,7.4876,9.1269,9.9025,0.1594,1.624
AirFormer,F4,5.8278,5.8548,7.2241,9.2057,9.7853,0.027,1.3693
AirFormer,F5,5.6477,5.6703,7.3969,9.0842,9.8217,0.0226,1.7267
AirFormer,F3S,5.7359,,,9.1298,,,
AirFormer,F3I,5.4755,,,8.954,,,
AirFormer,F5I,5.7248,,,9.1366,,,
AirFormer,F3IL,5.4199,,,8.939,,,
GAT-Informer,F1,6.1033,7.2112,,9.5513,10.8275,1.1079,
GAT-Informer,F2,6.0968,7.2112,,9.5457,10.8275,1.1144,
GAT-Informer,F3,6.1108,7.2112,,9.5568,10.8275,1.1004,
GAT-Informer,F4,6.311,7.2112,,9.7013,10.8275,0.9003,
GAT-Informer,F5,6.174,7.2112,,9.6015,10.8275,1.0372,
XGBoost,F1,5.9738,5.9469,7.4377,9.3898,9.9748,-0.027,1.4908
XGBoost,F2,5.849,5.8359,7.369,9.2576,9.8566,-0.013,1.5331
XGBoost,F3,5.8188,5.808,7.4733,9.2725,9.9463,-0.0108,1.6654
XGBoost,F4,5.7937,5.7873,7.4558,9.2447,9.9268,-0.0063,1.6685
XGBoost,F5,5.4478,5.4603,7.5219,9.0203,9.87,0.0125,2.0617
XGBoost,F3S,5.8365,,,9.29,,,
XGBoost,F3I,5.5443,,,9.1003,,,
XGBoost,F5I,5.4216,,,8.9838,,,
XGBoost,F3IL,5.5389,,,9.0951,,,
