model,seq_len,F,ma24_rmse,ma24_rmse_std,ma24_mae,hourly_rmse,hourly_mae,n_stations
airformer,24,F5,5.544902178976271,0.9206602634624935,3.921196116341485,9.005058394538032,5.879814253913032,18
airformer,48,F5,5.64766173892551,0.8655553225449798,3.9867225090662637,9.084200037850273,6.008306662241618,18
airformer,72,F5,5.442847861184014,0.7771407168538701,3.8950211471981473,8.936439037322998,5.937016328175862,18
airformer,96,F5,5.445625914467706,0.842170411491123,3.863877455393473,8.962857193417019,5.880123191409641,18
gat_informer,24,F3,6.231335401535034,1.077876628512815,4.133749047915141,9.6287948290507,6.1123742659886675,18
gat_informer,48,F2,6.096808711687724,1.0232381898114562,4.091784742143419,9.545709292093912,6.058857096566094,18
gat_informer,72,F1,6.089794331126743,0.9931177917212052,4.071094221538967,9.547860701878866,6.037340270148383,18
gat_informer,96,F3,7.412379821141561,1.1625909497167584,5.067120658026801,10.494857655631172,6.750677863756816,18
informer,24,F1,5.950807170438997,0.9334670620744565,4.083185589975603,9.408036480049471,6.118640767386503,18
informer,48,F1,6.057272071419063,0.9785626475930478,4.222916739434562,9.522107522373142,6.253935739928002,18
informer,72,F1,6.025797960641328,0.9323621398500673,4.15693312719025,9.468485802275735,6.15572871480651,18
informer,96,F1,6.060840165391856,0.9672521565530843,4.179624162877008,9.532111917644357,6.216685135251223,18
xgboost,24,F5,5.491124370288598,0.7747043728826656,3.984833705393871,9.088251195783693,6.113227787345697,18
xgboost,48,F5,5.447788409872449,0.8035154534680378,3.976417491213228,9.020324574716312,6.094203437465616,18
xgboost,72,F5,5.521290391121389,0.8084641387560263,4.030738939325852,9.091891383801226,6.147124660567911,18
xgboost,96,F5,5.543833704476381,0.8833289637517603,4.058460851681713,9.13459653799174,6.179833104928938,18
