station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.755017392409075,6.906292363692378,3.0950329980285027,4.116769732026413,1060.8353719711304,
ALGORTA_BBIZI2,ok,8.58627146759721,12.54598671433207,5.273752580216569,7.19006691973135,2743.4935688972473,
ALONSOTEGI,ok,5.623245478726383,8.057351592402513,3.403523975631641,4.615072406880944,1135.5264468193054,
ARRAIZ_Monte,ok,5.6050947570781755,8.223712449193844,4.192651347303111,5.708534575178795,1306.1694469451904,
BARAKALDO,ok,6.585811074512133,9.881468257092122,4.256099708866197,5.962882618354457,1117.5493836402893,
BASAURI,ok,6.838389876867427,10.551699811081336,4.496298370623914,6.06114074479315,1773.8758127689362,
CASTREJANA,ok,6.862943843036955,9.720346272728245,4.04832500861858,5.510955980397382,1257.0602989196777,
ERANDIO,ok,6.673578984845552,9.575566593382032,4.411168727865842,6.030497406223346,1377.301528453827,
EUROPA,ok,5.669627171843304,8.467263717359256,3.837802560204681,5.3000473289138945,1305.5788695812225,
LAS_CARRERAS,ok,5.949592463607042,8.92543165266783,3.846449565045387,5.194278770024123,1043.857836008072,
MAZARREDO,ok,5.315023614712683,7.933987741578938,3.740342400527831,5.233973570147315,1949.0151081085205,
MUSKIZ,ok,4.235043222630647,6.910320096490288,2.9903654344844495,4.271525021361224,853.9025645256042,
Mª_DIAZ_HARO,ok,5.950909493882565,8.857524554121635,4.335343497041087,6.062345270417921,1849.0256938934326,
SANGRONIZ,ok,6.267030811910667,9.123454227149091,3.8406443861858306,5.180172901253023,1226.5573098659515,
SANTURCE,ok,6.347895864260087,8.466972853855319,4.390206797930607,5.672855820012369,1210.476933002472,
SAN_JULIAN,ok,6.727254807847053,10.030339293415922,4.394398587422398,6.25144223970324,1621.1934902668,
SAN_MIGUEL,ok,4.8499341850152575,6.697190281111164,3.67198216753459,5.016779383098585,1002.320769071579,
ZIERBENA_Puerto,ok,8.067924666691171,12.837224489255014,4.614971708476759,6.32001441993742,1110.9914002418518,
