station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,5.296658593081683,7.531768867430122,3.1394290397098836,4.319051946870731,2645.1497480869293,
ALGORTA_BBIZI2,ok,9.309704277012251,13.299284854929189,5.371491220517314,7.350812278300418,1229.2966253757477,
ALONSOTEGI,ok,6.057998133693631,8.917197759765088,3.483722229261445,5.137992314143699,3301.1908411979675,
ARRAIZ_Monte,ok,6.4207942913513865,9.475717955160873,4.17618219251314,5.9777764452173265,1341.8382923603058,
BARAKALDO,ok,7.285943756714889,10.832840135404883,4.34445857621417,6.253609113568029,1526.8174650669098,
BASAURI,ok,7.849658582059928,11.722397701424857,4.720623107642667,6.533860666018946,2234.340001106262,
CASTREJANA,ok,7.248887581026918,10.201908326367382,3.973944728452524,5.52938065988192,4099.125185012817,
ERANDIO,ok,7.4100815516633,10.344217232095609,4.511400821722778,6.10362652553994,1990.7281262874603,
EUROPA,ok,6.477373096466238,9.483072525066863,3.8889628449838165,5.552264351721851,1984.9023592472076,
LAS_CARRERAS,ok,6.5046403287244745,9.671330452373859,3.9302267029453826,5.428902346366973,986.1637582778931,
MAZARREDO,ok,5.53923824711105,8.375052153507575,3.5418920325199608,5.208469001661409,1684.2151708602905,
MUSKIZ,ok,4.805626726559793,7.8672079534667905,3.157354868970158,4.908926359900736,1116.8408546447754,
Mª_DIAZ_HARO,ok,6.123668336798741,9.162562784727836,3.964922359180935,5.730763838868722,2644.882913827896,
SANGRONIZ,ok,7.377965808163985,10.467012716955626,4.5078985846657735,6.291676468185326,6842.222354412079,
SANTURCE,ok,7.217161753076477,9.459591132572175,4.602016912798214,5.9678294957158755,1496.3647668361664,
SAN_JULIAN,ok,7.502280762794461,11.028708476614417,4.426675172956942,6.475116051054603,2532.4558115005493,
SAN_MIGUEL,ok,5.745847927796367,7.371497757710658,3.6936730602155707,4.7753537729756586,1446.0876016616821,
ZIERBENA_Puerto,ok,8.579274256568661,13.471259589560612,4.681639042821948,6.626343501811335,2961.034935951233,
