station,status,hourly_mae,hourly_rmse,ma24_mae,ma24_rmse,elapsed_s,error
ABANTO,ok,4.7810109338416265,7.051157837237132,3.1344454781944675,4.276858659248168,4924.235282897949,
ALGORTA_BBIZI2,ok,8.65377586991833,12.624952610725312,5.35814602785769,7.3057445671544645,2592.270893573761,
ALONSOTEGI,ok,5.606164321331107,8.354952027256783,3.5285202368370365,5.1662346263880385,5558.695405483246,
ARRAIZ_Monte,ok,5.853386592997804,8.587068523629018,4.530235838312202,6.180818331712139,3369.5397448539734,
BARAKALDO,ok,6.617890926497853,10.087863251345853,4.304754246449579,6.207799190199018,1724.9614386558533,
BASAURI,ok,6.893284293254984,10.781684405773822,4.606145504240327,6.343422256382888,3439.3183636665344,
CASTREJANA,ok,6.74528429641201,9.687653783580913,4.010769828240794,5.55355448348686,3867.834618806839,
ERANDIO,ok,6.7896680872214095,9.746901487648087,4.587417204189334,6.205862002125767,2292.5244376659393,
EUROPA,ok,5.703492215496683,8.704244974963803,3.9836476899810593,5.644386334804356,3428.0110144615173,
LAS_CARRERAS,ok,6.1644438329551905,9.368706294194668,4.1429175628878,5.76655109862368,3554.7260026931763,
MAZARREDO,ok,5.128728437574166,7.874034377513143,3.698679846901072,5.358180591457756,3792.228047609329,
MUSKIZ,ok,4.2510591909074655,7.364529549375888,3.0723435703598714,4.860173506705769,2832.6216418743134,
Mª_DIAZ_HARO,ok,5.873377748693707,8.914526378641618,4.334919386083899,6.1784797929342234,2739.6266198158264,
M┬к_DIAZ_HARO,ok,5.873377748693707,8.914526378641618,4.334919386083899,6.1784797929342234,2742.331181526184,
SANGRONIZ,ok,6.942501568598941,10.342254391410744,4.615457534370542,6.731779690719282,2024.8058812618256,
SANTURCE,ok,6.385209011470456,8.546291931250359,4.481420684334464,5.738160352677365,3307.3239092826843,
SAN_JULIAN,ok,6.721725701437612,10.169150313383597,4.462650375468928,6.4114165043229505,3425.461569786072,
SAN_MIGUEL,ok,4.4676449259913396,5.921142712201883,3.327991900563241,4.170500779813845,2225.7181158065796,
ZIERBENA_Puerto,ok,8.049418802447311,12.983018259123051,4.713475159980813,6.673862099332194,5399.422177553177,
